id,app_or_website,customer_collects,customer_segmentation,is_a_repeat_order,lead_time,n_customer_notes,n_items_above_quantity_10,n_listed_addresses,n_listed_payment_methods,n_previous_cancelled_orders,n_previous_completed_orders,n_small_items,payment_type,slot_date,store_number,total_price,status
TID32798,website,0,group_1,0,12.42132237,0,2,1,1,0,0,0,debit,9/25/2018 0:00,id_58,69.24335324,Not_Canceled
TID29290,app,,group_1,0,39.84910274,0,0,1,2,0,0,2,credit,7/22/2018 0:00,id_29,59.93754192,Not_Canceled
TID16941,website,0,group_1,0,1.608749787,1,0,1,2,0,0,1,debit,7/12/2019 0:00,id_4,84.3913619,Not_Canceled
TID02831,app,0,group_1,0,116.4328759,0,2,1,1,0,0,1,debit,2/5/2019 0:00,id_19,46.68921428,Not_Canceled
TID22422,app,,group_1,0,71.18154233,1,0,1,2,0,0,3,credit,4/17/2019 0:00,id_8,72.21552848,Not_Canceled
TID04668,app,0,group_1,0,73.50038001,0,0,1,2,0,0,2,credit,8/26/2018 0:00,id_94,63.73742421,Not_Canceled
TID33088,website,0,group_1,0,151.2393065,1,2,1,2,0,0,2,debit,5/11/2019 0:00,id_5,47.34155644,Not_Canceled
TID18406,telephone,0,group_1,,1.836112212,1,1,1,,0,0,5,debit,2/6/2019 0:00,id_46,35.56791767,Not_Canceled
TID32947,website,0,group_1,0,34.26123599,1,2,1,2,0,0,1,debit,12/24/2018 0:00,id_87,47.90782574,Not_Canceled
TID24018,website,0,group_4,0,23.26389984,1,0,1,1,0,0,4,debit,5/9/2019 0:00,id_21,77.92918209,Not_Canceled
TID21214,website,0,group_1,0,61.84170883,1,0,1,3,0,0,3,debit,9/13/2018 0:00,id_61,56.95577991,Not_Canceled
TID08970,website,0,group_1,0,39.45835507,2,2,1,1,0,0,3,debit,8/21/2018 0:00,id_50,51.69012231,Not_Canceled
TID27393,whoosh,0,group_1,,12.47401685,0,0,1,,0,0,3,debit,7/13/2018 0:00,id_67,40.78410636,Not_Canceled
TID25103,website,1,group_4,0,99.50925123,0,2,1,2,0,0,2,debit,2/17/2019 0:00,id_40,54.78112882,Not_Canceled
TID02655,website,0,group_1,0,35.17353099,1,0,1,1,0,0,2,debit,5/29/2019 0:00,id_41,62.77846086,Not_Canceled
TID28700,app,0,group_1,0,2.343263128,0,1,1,2,0,0,2,debit,10/14/2018 0:00,id_18,48.80522502,Not_Canceled
TID12522,app,0,group_1,0,54.94402507,0,0,1,2,0,0,1,credit,3/14/2019 0:00,id_90,61.20853328,Not_Canceled
TID19835,website,0,group_1,0,8.803461802,1,0,1,2,0,0,1,debit,12/27/2018 0:00,id_44,48.96330321,Not_Canceled
TID13357,website,0,group_4,0,75.29035234,0,0,1,1,0,0,4,debit,2/27/2019 0:00,id_77,63.46007962,Not_Canceled
TID26875,telephone,0,group_5,,-77,1,0,1,,0,0,1,debit,9/9/2018 0:00,id_53,0,Not_Canceled
TID35112,website,0,group_1,0,27.72714218,1,0,1,2,0,0,3,debit,1/26/2019 0:00,id_29,55.58152236,Not_Canceled
TID31587,website,0,group_1,0,76.691237,1,1,1,2,0,0,2,debit,1/27/2019 0:00,id_48,48.96330321,Not_Canceled
TID27345,website,0,group_1,0,-0.665374716,0,0,1,2,0,0,1,debit,9/27/2018 0:00,id_20,85.83192021,Not_Canceled
TID18938,app,0,group_1,0,263.5026681,0,1,1,1,0,0,0,debit,8/29/2018 0:00,id_68,37.77866149,Not_Canceled
TID24789,whoosh,0,group_1,,14.52398608,0,0,1,,0,0,2,debit,9/21/2018 0:00,id_39,56.61145455,Not_Canceled
TID03482,website,0,group_1,0,165.2521602,2,1,1,2,0,0,3,debit,9/19/2018 0:00,id_32,53.64171518,Not_Canceled
